block,position,pop,ind,Floral,FlStart,#FloralShoots,Remarks
1,1,14,51,1,13-Jun,1,
1,2,4,51,1,13-Jun,1,
1,3,17,51,1,13-Jun,1,
1,4,22,51,1,16-Jun,1,
1,5,16,51,1,23-Jun,1,
1,6,24,51,1,8-Jul,1,
1,7,12,51,1,16-Jun,1,
1,8,3,51,1,13-Jun,1,
1,9,15,51,1,16-Jun,1,
1,10,23,51,1,16-Jun,3,
1,11,21,51,1,23-Jun,1,
1,12,9,51,1,20-Jun,1,
1,13,6,51,1,20-Jun,2,
1,14,11,51,1,19-Jul,1,
1,15,18,51,1,13-Jun,1,
1,16,20,51,1,13-Jun,1,
1,17,2,59,1,7-Jun,1,
1,18,8,51,1,27-Jun,1,
1,19,1,51,1,13-Jun,1,
1,20,7,51,1,7-Jun,1,
1,21,10,51,0,,,
1,22,5,51,1,16-Jun,1,
1,23,19,51,1,23-Jun,1,
1,24,13,51,1,30-Jun,2,
2,1,7,53,1,13-Jun,1,
2,2,5,52,1,20-Jun,1,
2,3,17,52,1,13-Jun,1,
2,4,22,52,1,16-Jun,1,
2,5,3,52,0,,,
2,6,2,60,0,,,
2,7,11,52,1,9-Jun,1,
2,8,10,53,1,20-Jun,1,
2,9,20,53,1,16-Jun,1,
2,10,21,52,1,16-Jun,2,
2,11,24,52,1,5-Jul,1,
2,12,16,53,1,20-Jun,1,
2,13,1,52,1,13-Jun,1,
2,14,13,52,1,20-Jun,1,
2,15,6,52,1,13-Jun,4,
2,16,18,53,1,16-Jun,1,
2,17,14,52,1,16-Jun,1,
2,18,15,52,1,13-Jun,1,
2,19,4,52,1,7-Jun,1,
2,20,23,52,1,16-Jun,1,
2,21,9,53,1,20-Jun,1,
2,22,12,52,1,20-Jun,3,
2,23,8,54,1,13-Jun,2,
3,1,23,53,1,23-Jun,1,
3,2,8,55,1,20-Jun,1,
3,3,21,54,1,16-Jun,1,
3,4,20,54,1,13-Jun,1,
3,5,14,53,1,13-Jun,1,
3,6,9,54,1,8-Jul,3,
3,7,2,100,0,,,
3,8,5,53,1,13-Jun,1,
3,9,17,53,1,13-Jun,2,Floral shoot broken with 7 inflor
3,10,12,53,1,16-Jun,1,
3,11,22,54,1,13-Jun,1,
