Population,,,latitude,longitude,m a s l
1,"Kaisepakte, nere",subalpine,68 17.389,19 17.927,362
2,"Kaisepakte, uppe",alpine,68 16.122,19 15.760,911
3,Kiruna,boreal,67 50.219,20 31.022,382
4,"Vakkotavare, uppe",alpine,67 35.419,18 07.406,957
5,"Vakkotavare, nere",subalpine,67 34.945,18 06.033,481
6,Porjus,boreal,67 00.033,19 49.784,390
7,"Kvikkjokk, uppe",alpine,66 57.317,17 49.851,828
8,"Kvikkjokk, nere",subalpine,66 57.192,17 44.352,360
9,Moskosel,boreal,65 57.142,19 31.106,290
10,Sorsele,boreal,65 33.891,17 43.835,375
11,"Ammarnäs, uppe",alpine,65 58.708,16 01.018,1003
12,"Ammarnäs, nere",subalpine,65 57.942,16 02.846,552
13,Vilhelmina,boreal,64 45.933,16 44.898,424
14,"Stekkenjokk, uppe",alpine,65 15.187,14 27.701,826
15,"Stekkenjokk, nere",subalpine,65 05.360,14 36.467,592
16,Östersund,boreal,63 13.331,14 44.446,332
17,"Storulvån, uppe",alpine,63 10.581,12 20.475,1009
18,"Storulvån, nere",subalpine,63 10.198,12 21.689,726
19,Sveg,boreal,62 02.911,14 38.416,357
20,"Flatruet, uppe",alpine,62 44.462,12 44.002,971
21,"Flatruet, nere",subalpine,62 49.922,12 48.376,703
22,"Nipfjället, uppe",alpine,61 57.629,12 50.885,1000
23,"Nipfjället, nere",subalpine,61 55.795,12 47.377,642
24,Mora,boreal,61 04.662,14 21.167,203
,,,,,
,,Gardens,,,
,,Abisko,68 21,18 49,360
,,Uppsala,59 50,17 37,30
