position,region,pop,plant,morph,height1,flwrstar,flwrleng,height2,winlen,antwin,winbud,inflor,flwrnode,agerepro
290,1,7,1,2,7,10,32,28,2.9,1,2.9,19,12,1
512,1,7,4,3,5,19,25,25,.,.,.,16,12,1
211,1,7,5,3,5,23,50,35,6.5,1,6.5,27,20,1
330,1,7,6,2,7,32,15,27,.,0,.,7,19,1
118,1,7,7,2,5,21,34,22,4.5,4,18,9,17,1
572,1,7,8,2,6,17,47,27,2.4,1,2.4,15,13,1
534,1,7,11,1,11,11,53,52,8.4,1,8.4,45,11,1
557,1,7,12,2,6,.,.,31,5.3,1,5.3,18,15,1
430,1,7,13,2,6,26,12,23,.,.,.,4,15,1
410,1,7,15,3,4,51,22,28,6.4,4,25.6,5,17,1
570,1,7,17,1,4,24,20,25,6.2,3,18.6,5,14,1
42,1,7,18,2,7,19,16,28,5.4,1,5.4,4,16,1
334,1,7,19,1,5,21,52,23,6,1,6,7,16,1
242,1,7,22,2,4,22,22,25,6.5,1,6.5,5,14,1
144,1,7,23,1,3,.,.,13,1.1,1,1.1,.,.,1
80,1,7,24,1,4,23,19,25,5,3,15,3,17,1
536,1,7,25,1,3,51,22,.,.,.,.,.,.,1
91,1,7,26,1,4,19,32,32,.,0,.,8,15,1
86,1,7,27,1,4,32,19,29,5,3,15,5,16,1
425,1,7,28,1,5,35,16,25,.,.,.,5,12,1
688,1,7,30,1,6,23,24,.,.,.,.,.,.,1
376,1,7,31,3,6,15,38,25,4.9,2,9.8,13,14,1
196,1,7,32,2,5,15,29,19,5.3,2,10.6,8,14,1
224,1,7,35,2,5,23,28,31,4,2,8,9,17,1
626,1,7,37,3,8,7,25,28,7.3,2,14.6,14,14,1
648,1,7,38,3,6,.,.,23,10.7,3,32.1,.,.,1
531,1,7,39,1,11,18,29,39,7.8,2,15.6,26,19,1
602,1,7,40,3,5,18,24,20,.,0,.,6,18,1
205,1,7,42,2,5,35,20,24,3.6,2,7.2,4,18,1
327,1,7,43,3,6,.,.,14,.,0,.,.,.,.
689,1,7,44,3,0,.,.,.,.,.,.,.,.,1
190,1,7,46,2,6,35,38,40,8.6,2,17.2,12,20,1
424,1,7,47,1,6,13,29,30,.,0,.,14,14,1
548,1,7,48,3,8,22,20,35,.,0,.,4,17,3
53,1,7,50,1,6,18,46,38,7.7,2,15.4,22,12,1
467,1,7,51,1,8,17,21,30,12.4,1,12.4,28,19,1
674,1,7,52,3,7,10,34,40,1.8,1,1.8,.,13,1
696,1,7,53,1,8,13,42,.,.,.,.,.,.,1
336,1,7,54,1,5,.,.,23,.,0,.,.,.,1
120,1,7,56,1,5,39,5,35,3.5,1,3.5,16,13,1
354,1,8,1,1,3,64,9,27,7.2,4,28.8,3,14,1
485,1,8,3,2,8,14,18,34,6.9,4,27.6,14,15,1
510,1,8,4,1,6,.,.,25,.,.,.,.,.,1
374,1,8,5,3,6,.,.,21,5,1,5,.,.,1
279,1,8,6,1,9,15,29,47,8.4,2,16.8,23,16,1
138,1,8,12,2,6,27,20,31,8.7,2,17.4,6,17,1
664,1,8,17,2,8,22,29,40,8.3,2,16.6,25,15,1
197,1,8,23,1,7,38,9,22,5.1,4,20.4,3,17,1
200,1,8,25,1,3,26,25,24,3.5,3,10.5,11,12,1
710,1,8,26,3,7,19,45,.,.,.,.,.,.,1
67,1,8,32,3,5,35,29,31,4.8,5,24,7,14,1
456,1,8,35,3,9,15,32,32,3.1,2,6.2,21,17,1
513,1,8,37,3,7,17,47,31,.,0,.,26,14,1
129,1,8,38,2,0,.,.,14,4.9,2,9.8,.,.,.
493,1,8,40,2,3,38,4,25,5.8,6,34.8,3,18,1
233,1,8,41,2,5,22,51,43,.,0,.,28,17,1
173,1,8,43,2,0,.,.,24,4.3,1,4.3,.,.,.
6,1,8,44,2,5,21,34,36,4.1,9,36.9,10,15,1
698,1,8,47,1,7,15,29,27,.,0,.,36,13,1
673,1,8,48,3,6,24,31,30,.,0,.,14,16,1
114,1,8,49,3,9,19,19,38,.,0,.,9,15,1
446,1,8,51,2,7,17,25,30,3.8,3,11.4,16,15,3
520,1,8,54,3,8,9,27,37,6.3,1,6.3,16,11,1
124,1,8,55,1,5,.,.,23,3.8,2,7.6,.,.,2
649,1,8,56,2,4,30,5,27,4.5,1,4.5,7,19,1
179,1,8,57,2,5,35,7,19,8.4,3,25.2,2,15,1
561,1,8,58,1,4,23,15,24,3.9,3,11.7,4,16,1
717,1,8,59,3,6,22,33,.,.,.,.,.,.,1
687,1,8,60,3,5,18,33,.,.,.,.,.,.,1
105,1,8,62,2,1,.,.,17,2.9,2,5.8,.,.,1
492,1,8,63,1,3,44,29,28,6.8,6,40.8,4,16,1
629,1,8,65,1,4,21,52,26,.,0,.,24,10,1
341,1,8,68,2,7,12,44,41,.,0,.,44,14,1
693,1,8,69,2,4,.,.,.,.,.,.,.,.,1
273,1,8,71,2,8,23,41,41,2.9,2,5.8,33,17,1
716,1,8,72,1,6,17,38,47,7.6,2,15.2,29,17,1
692,1,8,73,1,6,17,25,33,.,0,.,17,15,1
169,1,8,74,3,6,.,.,16,1.9,1,1.9,.,.,1
352,1,8,75,3,5,17,38,21,7.7,3,23.1,13,16,1
514,1,8,76,3,8,15,27,30,.,0,.,18,15,1
637,1,8,77,1,6,18,26,35,.,0,.,12,17,1
678,1,8,79,2,5,16,35,.,.,.,.,.,.,1
484,1,9,1,1,3,35,38,53,2.7,1,2.7,21,20,1
389,1,9,3,1,4,22,1,37,4.6,2,9.2,9,13,1
388,1,9,4,1,1,35,38,39,5.8,2,11.6,11,14,1
175,1,9,5,1,8,21,26,35,.,0,.,5,20,1
95,1,9,7,3,0,.,.,.,.,.,.,.,.,.
523,1,9,8,1,5,.,.,35,4.3,2,8.6,16,14,1
386,1,9,13,3,0,.,.,.,.,.,.,.,.,1
466,1,9,14,2,1,35,16,33,5.7,1,5.7,4,12,1
423,1,9,18,2,3,.,.,25,2.6,4,10.4,.,.,1
680,1,9,20,1,3,.,.,22,5,3,15,.,.,1
679,1,9,21,3,4,23,12,.,.,.,.,.,.,1
413,1,9,23,3,0,35,38,43,4.9,2,9.8,7,13,1
568,1,9,24,2,6,23,21,40,.,0,.,7,14,1
397,1,9,26,2,4,21,26,39,.,0,.,15,11,1
344,1,9,28,1,7,21,30,38,6,1,6,5,18,1
286,1,9,29,2,0,35,38,39,3.9,1,3.9,11,11,1
301,1,9,32,1,0,.,.,.,.,.,.,.,.,1
71,1,9,33,2,4,.,.,20,5.1,4,20.4,.,.,1
99,1,9,35,1,2,64,9,23,3.8,6,22.8,2,13,1
238,1,9,36,3,5,20,24,35,2.9,2,5.8,14,13,2
382,1,9,37,3,0,22,29,45,.,0,.,11,12,1
604,1,9,40,1,9,44,29,35,4.1,3,12.3,6,17,1
135,1,9,41,1,7,.,.,33,5.7,4,22.8,13,16,1
163,1,9,42,2,6,22,29,41,3.5,2,7,13,18,1
418,1,9,43,2,5,19,28,30,5.9,2,11.8,9,12,1
658,1,9,44,1,7,17,27,35,1.8,1,1.8,14,16,1
239,1,10,1,2,4,21,26,53,3.4,3,10.2,33,14,1
345,1,10,4,1,6,17,39,53,4.2,2,8.4,27,16,1
365,1,10,10,1,0,.,.,.,.,.,.,.,.,1
244,1,10,13,1,0,.,.,.,5.1,.,0,.,.,1
142,1,10,18,2,5,27,8,31,4.6,4,18.4,8,14,1
54,1,10,19,2,6,.,.,29,5.3,4,21.2,.,.,1
414,1,10,25,3,2,.,.,.,.,.,.,.,.,.
567,1,10,28,1,3,27,24,43,2.4,3,7.2,10,13,1
524,1,10,34,1,8,19,28,47,5.1,3,15.3,12,12,1
257,1,10,35,1,6,22,42,45,3.6,1,3.6,16,12,1
537,1,10,36,1,3,.,.,20,7,5,35,.,.,1
98,1,10,51,3,1,.,.,13,6,3,18,.,.,1
93,1,10,59,1,3,.,.,23,6.4,3,19.2,.,.,1
445,1,10,61,1,0,.,.,.,.,.,.,.,.,1
498,1,10,63,2,0,.,.,.,.,.,.,.,.,1
333,1,10,65,2,0,.,.,.,.,.,.,.,.,.
581,1,10,72,3,3,23,24,38,.,0,.,8,13,1
46,1,10,75,3,6,12,50,39,3.9,3,11.7,12,15,1
